date_time,source_key,ambient_temperature,module_temperature,irradiation,date,time
2020-05-15 19:45:00,iq8k7ZNt4Mwm3w0,31.505344758620687,28.926431620689655,0.0,2020-05-15,19:45:00
2020-05-15 20:00:00,iq8k7ZNt4Mwm3w0,31.4473155,28.39059036666666,0.0,2020-05-15,20:00:00
2020-05-15 20:15:00,iq8k7ZNt4Mwm3w0,30.79767863333333,27.45114633333333,0.0,2020-05-15,20:15:00
2020-05-15 20:30:00,iq8k7ZNt4Mwm3w0,30.55072879310345,27.475042827586208,0.0,2020-05-15,20:30:00
2020-05-15 20:45:00,iq8k7ZNt4Mwm3w0,31.04741058620689,29.370689551724137,0.0001204262175862,2020-05-15,20:45:00
2020-05-15 21:00:00,iq8k7ZNt4Mwm3w0,30.0076782,29.1692108,0.0,2020-05-15,21:00:00
2020-05-15 21:15:00,iq8k7ZNt4Mwm3w0,28.979583733333328,28.141885233333333,0.0,2020-05-15,21:15:00
2020-05-15 21:30:00,iq8k7ZNt4Mwm3w0,28.4271094137931,27.413927793103444,0.0,2020-05-15,21:30:00
2020-05-15 21:45:00,iq8k7ZNt4Mwm3w0,28.300552466666662,27.0304251,0.0,2020-05-15,21:45:00
2020-05-15 22:00:00,iq8k7ZNt4Mwm3w0,28.32985817241379,26.92777213793104,0.0,2020-05-15,22:00:00
2020-05-15 22:15:00,iq8k7ZNt4Mwm3w0,28.324165,26.87666233333333,0.0,2020-05-15,22:15:00
2020-05-15 22:30:00,iq8k7ZNt4Mwm3w0,28.22888173333333,26.848583,0.0,2020-05-15,22:30:00
2020-05-15 22:45:00,iq8k7ZNt4Mwm3w0,28.145526758620687,26.78983489655172,0.0,2020-05-15,22:45:00
2020-05-15 23:00:00,iq8k7ZNt4Mwm3w0,27.70949446428571,26.52979492857143,0.0,2020-05-15,23:00:00
2020-05-15 23:15:00,,,,,,
2020-05-15 23:30:00,iq8k7ZNt4Mwm3w0,26.95176844444444,25.081197222222222,0.0,2020-05-15,23:30:00
2020-05-15 23:45:00,iq8k7ZNt4Mwm3w0,26.75583189655173,24.81448375862069,0.0,2020-05-15,23:45:00
2020-05-16 00:00:00,iq8k7ZNt4Mwm3w0,26.52780646666667,24.43326406666667,0.0,2020-05-16,00:00:00
